Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,apropiacion_cons_2024,Apropiación a precios constantes (2024),Apropiación a precios corrientes
2013,Organismos de control,25,Procuraduría general de la nación,2501,Funcionamiento,426007000000,751693581550.2882,751693581550.2882,426007000000
2013,Organismos de control,25,Procuraduría general de la nación,2501,Inversión,34352000000,60614445099.29532,60614445099.29532,34352000000
2013,Organismos de control,25,Defensoría del pueblo,2502,Funcionamiento,302406000000,533598389750.1601,533598389750.1601,302406000000
2013,Organismos de control,25,Defensoría del pueblo,2502,Inversión,15382000000,27141691736.06662,27141691736.06662,15382000000
2013,Organismos de control,25,Contraloría general de la república,2601,Funcionamiento,386614000000,682184241896.2203,682184241896.2203,386614000000
2013,Organismos de control,25,Contraloría general de la república,2601,Inversión,70071000000,123640975272.2614,123640975272.2614,70071000000
2013,Organismos de control,25,Fondo de bienestar social de la contraloría general de la república,2602,Funcionamiento,52864000000,93279052914.7982,93279052914.7982,52864000000
2013,Organismos de control,25,Fondo de bienestar social de la contraloría general de la república,2602,Inversión,6200000000,10939961563.10057,10939961563.10057,6200000000
2013,Rama judicial,27,Rama judicial,2701,Funcionamiento,2342136081106,4132722371427.525,4132722371427.525,2342136081106
2013,Rama judicial,27,Rama judicial,2701,Inversión,331910058937,585658594706.0043,585658594706.0043,331910058937
2013,Registraduría,28,Registraduría nacional del estado civil,2801,Funcionamiento,345766000000,610107540294.6829,610107540294.6829,345766000000
2013,Registraduría,28,Registraduría nacional del estado civil,2801,Inversión,46489944685,82031969020.09224,82031969020.09224,46489944685
2013,Registraduría,28,Fondo rotatorio de la registraduría,2802,Funcionamiento,16878000000,29781398590.64702,29781398590.64702,16878000000
2013,Registraduría,28,Fondo rotatorio de la registraduría,2802,Inversión,29459000000,51980698014.09352,51980698014.09352,29459000000
2013,Registraduría,28,Fondo social de vivienda de la registraduría nacional del estado civil,2803,Funcionamiento,9513000000,16785782959.64125,16785782959.64125,9513000000
2013,Fiscalía,29,Fiscalía general de la nación,2901,Funcionamiento,1905322069125,3361959709928.187,3361959709928.187,1905322069125
2013,Fiscalía,29,Fiscalía general de la nación,2901,Inversión,143935072868,253974865283.5485,253974865283.5485,143935072868
2013,Fiscalía,29,Instituto nacional de medicina legal y ciencias forenses,2902,Funcionamiento,136805310246,241394328341.8209,241394328341.8209,136805310246
2013,Fiscalía,29,Instituto nacional de medicina legal y ciencias forenses,2902,Inversión,36330000000,64104645739.91031,64104645739.91031,36330000000
2013,Ambiente y desarrollo sostenible,32,Ministerio de ambiente y desarrollo sostenible,3201,Funcionamiento,133450392000,235474541783.9846,235474541783.9846,133450392000
2013,Ambiente y desarrollo sostenible,32,Ministerio de ambiente y desarrollo sostenible,3201,Inversión,140576000000,248047747853.9398,248047747853.9398,140576000000
2013,Ambiente y desarrollo sostenible,32,"Instituto de hidrología, meteorología y estudios ambientales - ideam",3202,Funcionamiento,38264100000,67517384394.61883,67517384394.61883,38264100000
2013,Ambiente y desarrollo sostenible,32,"Instituto de hidrología, meteorología y estudios ambientales - ideam",3202,Inversión,22550000000,39789698910.95451,39789698910.95451,22550000000
2013,Ambiente y desarrollo sostenible,32,Fondo nacional ambiental,3204,Funcionamiento,19735290000,34823115167.20051,34823115167.20051,19735290000
2013,Ambiente y desarrollo sostenible,32,Fondo nacional ambiental,3204,Inversión,35760000000,63098875080.07687,63098875080.07687,35760000000
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de los valles del sinú y san jorge (cvs),3208,Funcionamiento,2351270000,4148839262.011529,4148839262.011529,2351270000
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del quindío (crq),3209,Funcionamiento,3930300000,6935053376.040998,6935053376.040998,3930300000
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del urabá (corpourabá),3210,Funcionamiento,2618525000,4620413363.228699,4620413363.228699,2618525000
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del urabá (corpourabá),3210,Inversión,1000000000,1764509929.532351,1764509929.532351,1000000000
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de caldas (corpocaldas),3211,Funcionamiento,2662415000,4697857704.035873,4697857704.035873,2662415000
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),3212,Funcionamiento,1467200000,2588888968.609865,2588888968.609865,1467200000
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),3212,Inversión,657000000,1159283023.702754,1159283023.702754,657000000
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del tolima (cortolima),3214,Funcionamiento,1506500000,2658234208.840487,2658234208.840487,1506500000
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de risaralda (carder),3215,Funcionamiento,1914693000,3378494810.506085,3378494810.506085,1914693000
