Tipo de gasto,Entidad,Apropiación a precios corrientes,Código de entidad,Código del sector,Sector
INVERSIÓN,Fondo especial para la administración de bienes de la fiscalía general de la nación,19276000000.0,2904,29.0,Fiscalía
FUNCIONAMIENTO,Ministerio de ambiente y desarrollo sostenible,413756961050.0,3201,32.0,Ambiente y desarrollo sostenible
INVERSIÓN,Ministerio de ambiente y desarrollo sostenible,785846835468.0,3201,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,"Instituto de hidrología, meteorología y estudios ambientales - ideam",67307033210.0,3202,32.0,Ambiente y desarrollo sostenible
INVERSIÓN,"Instituto de hidrología, meteorología y estudios ambientales - ideam",31999229301.0,3202,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Fondo nacional ambiental,98170300000.0,3204,32.0,Ambiente y desarrollo sostenible
INVERSIÓN,Fondo nacional ambiental,175098406366.0,3204,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de los valles del sinú y san jorge (cvs),4024700000.0,3208,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del quindío (crq),6325400806.0,3209,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación para el desarrollo sostenible del urabá (corpourabá),5049176129.0,3210,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de caldas (corpocaldas),5283500000.0,3211,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),99070023380.0,3212,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional para la defensa de la meseta de bucaramanga (cdmb),1702100000.0,3213,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del tolima (cortolima),2926072953.0,3214,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de risaralda (carder),3514167948.0,3215,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de nariño (corponariño),3513251788.0,3216,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de la frontera nororiental (corponor),5315100000.0,3217,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de la guajira (corpoguajira),5048300000.0,3218,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del cesar (corpocesar),4025096652.0,3219,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del cauca (crc),8006600000.0,3221,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del magdalena (corpamag),6650774000.0,3222,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),3044415021.0,3223,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación para el desarrollo sostenible del norte y oriente de la amazonia (cda),3250763399.0,3224,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,"Corporación para el desarrollo sostenible del archipiélago de san andrés, providencia y santa catalina (coralina)",3159139259.0,3226,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación para el desarrollo sostenible del área de manejo especial la macarena (cormacarena),3443000000.0,3227,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación para el desarrollo sostenible de la mojana y el san jorge (corpomojana),3107181000.0,3228,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de la orinoquia (corporinoquia),2947800000.0,3229,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de sucre (carsucre),3441456374.0,3230,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del alto magdalena (cam),3275600000.0,3231,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del centro de antioquia (corantioquia),3234214457.0,3232,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del atlántico (cra),2807918000.0,3233,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de santander (cas),3161500000.0,3234,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de boyacá (corpoboyacá),2837208309.0,3235,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional de chivor (corpochivor),3185000000.0,3236,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del guavio (corpoguavio),1014700000.0,3237,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del canal del dique (cardique),3065068000.0,3238,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,Corporación autónoma regional del sur de bolivar (csb),3700700000.0,3239,32.0,Ambiente y desarrollo sostenible
FUNCIONAMIENTO,"Ministerio de las culturas, las artes y los saberes",292859963090.0,3301,33.0,"Ministerio de las culturas, las artes y los saberes ancestrales"
INVERSIÓN,"Ministerio de las culturas, las artes y los saberes",651354591139.0,3301,33.0,"Ministerio de las culturas, las artes y los saberes ancestrales"
FUNCIONAMIENTO,Archivo general de la nación,20106894416.0,3304,33.0,"Ministerio de las culturas, las artes y los saberes ancestrales"
INVERSIÓN,Archivo general de la nación,34525005387.0,3304,33.0,"Ministerio de las culturas, las artes y los saberes ancestrales"
FUNCIONAMIENTO,Instituto colombiano de antropología e historia,27730016172.0,3305,33.0,"Ministerio de las culturas, las artes y los saberes ancestrales"
INVERSIÓN,Instituto colombiano de antropología e historia,33681709185.0,3305,33.0,"Ministerio de las culturas, las artes y los saberes ancestrales"
FUNCIONAMIENTO,Instituto caro y cuervo,16050094833.0,3307,33.0,"Ministerio de las culturas, las artes y los saberes ancestrales"
INVERSIÓN,Instituto caro y cuervo,14454263039.0,3307,33.0,"Ministerio de las culturas, las artes y los saberes ancestrales"
FUNCIONAMIENTO,Auditoría general de la república,63510000000.0,3401,25.0,Organismos de control
INVERSIÓN,Auditoría general de la república,13000000000.0,3401,25.0,Organismos de control
FUNCIONAMIENTO,"Ministerio de comercio, industria y turismo",660302227000.0,3501,35.0,"Comercio, industria y turismo"
INVERSIÓN,"Ministerio de comercio, industria y turismo",198352184065.0,3501,35.0,"Comercio, industria y turismo"
FUNCIONAMIENTO,Superintendencia de sociedades,194184002000.0,3502,35.0,"Comercio, industria y turismo"
INVERSIÓN,Superintendencia de sociedades,30696200000.0,3502,35.0,"Comercio, industria y turismo"
FUNCIONAMIENTO,Superintendencia de industria y comercio,226582198000.0,3503,35.0,"Comercio, industria y turismo"
INVERSIÓN,Superintendencia de industria y comercio,145087794139.0,3503,35.0,"Comercio, industria y turismo"
FUNCIONAMIENTO,Unidad administrativa especial junta central contadores,15548661000.0,3504,35.0,"Comercio, industria y turismo"
INVERSIÓN,Unidad administrativa especial junta central contadores,14000753000.0,3504,35.0,"Comercio, industria y turismo"
FUNCIONAMIENTO,Instituto nacional de metrología - inm,23980556000.0,3505,35.0,"Comercio, industria y turismo"
INVERSIÓN,Instituto nacional de metrología - inm,15715756932.0,3505,35.0,"Comercio, industria y turismo"
FUNCIONAMIENTO,Ministerio del trabajo,46609015048309.0,3601,36.0,Trabajo
INVERSIÓN,Ministerio del trabajo,440592840646.0,3601,36.0,Trabajo
FUNCIONAMIENTO,Servicio nacional de aprendizaje (sena),127990194000.0,3602,36.0,Trabajo
INVERSIÓN,Servicio nacional de aprendizaje (sena),6139428050018.0,3602,36.0,Trabajo
FUNCIONAMIENTO,Unidad administrativa especial de organizaciones solidarias,10352398000.0,3612,36.0,Trabajo
INVERSIÓN,Unidad administrativa especial de organizaciones solidarias,45000000000.0,3612,36.0,Trabajo
FUNCIONAMIENTO,Unidad administrativa especial del servicio público de empleo,15043360000.0,3613,36.0,Trabajo
